,vm_pu_bus1,vm_pu_bus2,vm_pu_bus3,vm_pu_bus4,vm_pu_bus5,vm_pu_bus6,vm_pu_bus7,vm_pu_bus8,vm_pu_bus9,va_degree_bus1,va_degree_bus2,va_degree_bus3,va_degree_bus4,va_degree_bus5,va_degree_bus6,va_degree_bus7,va_degree_bus8,va_degree_bus9,Cluster
0,1,0.9060079513221193,0.9999999999999998,0.9420247445624843,0.9303006071946984,0.9468700217580117,0.9104993337981193,0.9059568959958297,0.9013055988106717,0,-8.557138869344437,-7.219198189215234,-4.902966034946653,-7.200780828475859,-7.829466676359939,-9.13740362755233,-8.555611033247695,-7.961740641409998,4
1,1,0.9047513796011863,1.0,0.9409923621389904,0.9285268748428661,0.9456731345711603,0.9087094024718914,0.9047003950851794,0.9006331653269969,0,-9.056745833514565,-7.842780434437919,-5.182470265085515,-7.708957312138212,-8.419672529626258,-9.77606266921611,-9.055217997417824,-8.321769689174555,2
2,1,0.9063573324449328,0.9999999999999999,0.942349593373457,0.9303718958819097,0.9468552626773792,0.9103721510918322,0.9063062574303312,0.9021511509697021,0,-8.50499312519059,-7.247087558225387,-4.884875370951667,-7.249325158533973,-7.856945041979662,-9.143129485351702,-8.503465289093848,-7.851832090331299,2
3,1,0.9056530230009063,1.0,0.941843563781357,0.9300767853533992,0.9465635896488211,0.909851090330287,0.9056019876755242,0.9012894169328636,0,-8.85066294122034,-7.562761058576074,-5.036195068906174,-7.444870656515922,-8.164493271750652,-9.556802619180221,-8.849135105123604,-8.128603960317257,2
4,1,0.905256157020205,1.0,0.9415222981567677,0.9298265236415556,0.9463410628335959,0.9094371677848077,0.9052051440589994,0.9009239716400098,0,-9.086757724795643,-7.834621331953116,-5.182932853867234,-7.698710055196476,-8.43015078730772,-9.828160602492554,-9.0852298886989,-8.32913777938447,2
5,1,0.90704314743666,0.9999999999999999,0.9422141418723908,0.9302240919419177,0.9471382949299106,0.911375549134573,0.9069920337750373,0.9025101029773335,0,-8.914096983769692,-7.610647042430874,-5.144594123592109,-7.6165512022306965,-8.228383796005822,-9.525999814503963,-8.91256914767295,-8.286970573720504,2
6,1,0.9076573883810075,0.9999999999999998,0.9429572533872357,0.9310002075993129,0.947430999569358,0.9115000885086688,0.9076062401057023,0.9036524125577572,0,-8.7547005259477,-7.5049195138073745,-5.020013457795942,-7.4871266554202185,-8.130799329032707,-9.47022107651671,-8.753172689850958,-8.023758437058595,4
7,1,0.9053063628720575,1.0,0.9417448775157075,0.9297278603338072,0.9461297621017896,0.9088959432427303,0.9052553470816537,0.901551957469661,0,-8.987408053695429,-7.718140931637024,-5.12401817600406,-7.580626773758078,-8.30777756021508,-9.695667380351823,-8.985880217598682,-8.264174115324863,2
8,1,0.9082140862818634,0.9999999999999998,0.9433721802677515,0.9315727853447151,0.9478989393928604,0.9123217997130323,0.9081629066355383,0.9039079236635161,0,-8.444301494504803,-7.103269183079991,-4.834995380054326,-7.129412356909923,-7.742155563559557,-9.063443225675297,-8.442773658408058,-7.810186152840097,4
9,1,0.9055424934549591,1.0,0.9417002336850034,0.9301415709183187,0.9465055683804396,0.9096259593600164,0.9054914643581335,0.9012886934358977,0,-9.186360115551661,-7.864589150124225,-5.237964678214195,-7.720949824157561,-8.464704377519212,-9.880313479023965,-9.184832279454916,-8.476777157981145,2
10,1,0.9091137550528441,0.9999999999999999,0.9440722597516485,0.9320421972613672,0.9481528177536912,0.9126066749940077,0.9090625247084183,0.9054222563400028,0,-8.347020336830226,-7.013654449343974,-4.785825189872102,-7.068119740167666,-7.659591535954192,-8.966779160166313,-8.345492500733481,-7.7131396971291135,2
11,1,0.9077693368311163,0.9999999999999997,0.9431623564611124,0.9313463374992562,0.9476365277064737,0.9117686507078755,0.9077181822472961,0.903594296895466,0,-8.528063886571214,-7.241770603998866,-4.877395475262708,-7.239178293342218,-7.873364901017897,-9.209212439875877,-8.526536050474467,-7.8315440314649925,4
12,1,0.9044612632983763,0.9999999999999998,0.940987466888468,0.928522429424505,0.9455452541413895,0.9083155078172781,0.9044102951309922,0.9004413928871259,0,-8.917742122487295,-7.719551188409165,-5.107998268540491,-7.604200420359646,-8.29287168357734,-9.623375430897228,-8.916214286390552,-8.19673030351298,4
13,1,0.9093298538724008,0.9999999999999998,0.9438869517668369,0.9318853405732549,0.9483735469730313,0.9134228652024484,0.9092786113503827,0.9050315605248238,0,-8.343376767294739,-6.990453312370484,-4.788431385842688,-7.062611552123319,-7.642517096164277,-8.943340016250485,-8.341848931197998,-7.728640513087657,4
14,1,0.9039875289785511,1.0000000000000002,0.940549646653193,0.9286708363416205,0.9456990315668299,0.9086169875509307,0.9039365875070258,0.8991706025722174,0,-9.015188978422826,-7.774898658921855,-5.183848664435199,-7.688400727888239,-8.352513906767214,-9.6623105428765,-9.013661142326082,-8.35205298301318,2
15,1,0.9068385899231605,0.9999999999999999,0.9421915314801423,0.9300632125778845,0.9470210339446239,0.9111817198343813,0.9067874877887553,0.9022958358387468,0,-8.712527998973371,-7.420551755188596,-5.016111514324579,-7.425131462618135,-8.035024739051138,-9.327246862226051,-8.711000162876632,-8.082542417939617,2
16,1,0.9048119452322881,1.0,0.94111137521994,0.9292932414312884,0.9462219274612793,0.9095608361073366,0.9047609573032888,0.8998584815022573,0,-8.75659265533388,-7.457756153274001,-5.025264455366327,-7.405146732942728,-8.04996347873605,-9.35518005531948,-8.755064819237138,-8.142334032513716,2
17,1,0.9073831734106556,0.9999999999999999,0.9425850125962296,0.9309550469458645,0.947601735889153,0.9120316852593604,0.9073320405879017,0.9025339548631418,0,-8.669911326251396,-7.3600835165697305,-4.9957310573745195,-7.398844069179946,-7.990710658431076,-9.281633256337095,-8.668383490154651,-8.042535974332704,2
18,1,0.9041412107212758,0.9999999999999998,0.9406517551928096,0.928570430199717,0.945601051291368,0.9084397974781196,0.9040902605894827,0.899678090955719,0,-9.111857234030387,-7.905637217272806,-5.227428029335956,-7.784835941843716,-8.48051621445539,-9.819755718020135,-9.110329397933649,-8.387852193899203,4
19,1,0.9076741140223813,1.0,0.9432720653068161,0.931307610935477,0.947403214442673,0.9110915214754215,0.9076229648045531,0.904070873726247,0,-8.574345410100166,-7.29685825827242,-4.924748689055374,-7.310021122572581,-7.9219653285163,-9.228917678465633,-8.572817574003421,-7.905486641591914,2
20,1,0.9049832958146057,0.9999999999999998,0.9412038823313195,0.9288019256059573,0.9458644892066363,0.9089933892490437,0.9049322982296649,0.9007988103802925,0,-8.902693050683268,-7.673769433384615,-5.101950535079222,-7.576754928052683,-8.256003918028082,-9.58590453334895,-8.901165214586527,-8.204056847498197,4
21,1,0.9034043988864308,1.0000000000000002,0.9403796315036704,0.9287464240164225,0.9455078094989354,0.9080019489827429,0.9033534902754308,0.8986321663317743,0,-9.105362158853028,-7.843552414545849,-5.200699574457751,-7.68731882020591,-8.415826907952702,-9.786563233018766,-9.103834322756283,-8.407842720642275,2
22,1,0.9079626408486496,0.9999999999999998,0.9429271866799701,0.9305872918722341,0.9474219558556833,0.9118628259202104,0.9079114753717684,0.9038629204855382,0,-8.632859569238724,-7.326963743721867,-4.967964436594003,-7.350121747026035,-7.952592045553935,-9.248856427962373,-8.631331733141979,-8.002202327720468,4
23,1,0.9042748199423609,1.0,0.9412135332958234,0.9297024979773536,0.9460028272297503,0.9085187388615106,0.9042238622814259,0.8998501748948939,0,-8.867105279728705,-7.596718649219938,-5.0670257814511634,-7.489233127967939,-8.18281387485771,-9.533001513505482,-8.865577443631961,-8.185582250842755,2
24,1,0.9062446842792666,0.9999999999999999,0.9420191927392868,0.930018983575475,0.9466829239554354,0.9102497245415856,0.9061936156126102,0.9020752764181953,0,-8.952421044274969,-7.694542761834472,-5.12348242906315,-7.612238774967775,-8.299599995325169,-9.66193778403764,-8.950893208178227,-8.227265377942851,2
25,1,0.9037505109111564,1.0,0.940715624740071,0.9290821768473968,0.945680740526722,0.9081637244860841,0.9036995827960644,0.8991513000052431,0,-8.968766777390227,-7.709157246296223,-5.138869895732557,-7.599179552571827,-8.286261736185768,-9.61995333288848,-8.967238941293482,-8.30183944289569,2
26,1,0.9049524877077648,0.9999999999999999,0.9411488563212246,0.9290421732167734,0.9460563884565766,0.9093157347530539,0.9049014918589214,0.9004047305221473,0,-8.883887645857339,-7.646212443586829,-5.10650413072696,-7.583373537793001,-8.233802121894584,-9.539848824645263,-8.882359809760596,-8.212221447666556,2
27,1,0.9077887460933154,0.9999999999999999,0.9432909047558411,0.9315519134816432,0.9476833191845119,0.9116932662226676,0.9077375904157453,0.903694439480926,0,-8.452377048672675,-7.145765801287113,-4.841115541669537,-7.164410317614087,-7.778660700437968,-9.09581366075067,-8.450849212575937,-7.794036864192545,2
28,1,0.9068228260716652,0.9999999999999998,0.9422088370567018,0.9301300765467411,0.9469530857903781,0.9109139465341765,0.906771724825584,0.9025442167411206,0,-8.89220413787669,-7.6306982763569,-5.128857354062943,-7.626110184456303,-8.24327962428514,-9.541280878998366,-8.890676301779948,-8.227897886278287,4
29,1,0.9059141428283577,0.9999999999999998,0.9418714899642833,0.9305043114320545,0.9469938335705688,0.9106790925108574,0.9058630927883606,0.9009427557012742,0,-8.775885694509242,-7.425890705040264,-5.031137440680498,-7.392883079728923,-8.039606482805961,-9.369645416948808,-8.774357858412504,-8.166492002507578,4
30,1,0.9076575896448713,1.0000000000000002,0.9429198165256596,0.9305796252474211,0.947257794463975,0.9113813543136254,0.9076064413582239,0.9037503465611849,0,-8.58021583556171,-7.316850449650164,-4.928336730601492,-7.324584754309486,-7.937912360031163,-9.240934262851415,-8.578687999464968,-7.904711999148324,2
31,1,0.9079634168343207,0.9999999999999999,0.9431658766213461,0.9311053466659405,0.9475908952775994,0.9118569821103973,0.9079122513137111,0.9038627237379693,0,-8.504226860766368,-7.161071916353851,-4.880020332520116,-7.1842912390719045,-7.791397691041949,-9.097899438079772,-8.502699024669623,-7.896095247664896,2
32,1,0.9056953707584882,0.9999999999999999,0.9417198524927438,0.9295867580839016,0.9463664355151564,0.9096995429420653,0.9056443330467266,0.9015186974087589,0,-8.843233408015442,-7.632633259880269,-5.08737288866135,-7.590703822499384,-8.228870121493102,-9.53172828788466,-8.841705571918702,-8.139281330919108,2
33,1,0.9080363590821307,0.9999999999999998,0.9428938229693681,0.9308430017136082,0.9476215887772718,0.9122134507594164,0.9079851894510823,0.9036593682285159,0,-8.742695163968046,-7.4163463712915885,-5.03191511795709,-7.437262896707767,-8.047525400329391,-9.357498435035946,-8.741167327871302,-8.112860980873185,4
34,1,0.9081237508081684,0.9999999999999999,0.9435715672252392,0.9316245358037641,0.9476824988186329,0.9116116106823735,0.9080725762524249,0.9044374771284414,0,-8.419932268340121,-7.1017670660019325,-4.828958922668723,-7.13250958201164,-7.734639163727641,-9.039544619062571,-8.41840443224338,-7.78620096905648,2
35,1,0.9075818117051434,0.9999999999999999,0.9433687117279491,0.9317883004043761,0.9476436043064524,0.9113364573399766,0.9075306676887321,0.9036298951454784,0,-8.406327482545661,-7.081768780898153,-4.812460534362054,-7.100760458955339,-7.713559786127389,-9.028692635147047,-8.404799646448916,-7.769447678193027,2
36,1,0.9051396661577371,0.9999999999999998,0.9414797415911994,0.9292079771512404,0.9459100834881141,0.9087471666993241,0.9050886597610205,0.9013636977104885,0,-9.030693041939864,-7.775170617900675,-5.160095361572526,-7.641331027822086,-8.358677686890077,-9.729606127049276,-9.029165205843123,-8.316849476350312,4
37,1,0.9033092256259323,1.0,0.9400168929801876,0.927897047546983,0.9451176770875455,0.907678124573454,0.9032583223781322,0.8987710864691085,0,-9.342812080852719,-8.11184002109029,-5.353699350659838,-7.938315940029833,-8.673210860188554,-10.038271289338272,-9.341284244755984,-8.631247394132327,2
38,1,0.9060128162878861,0.9999999999999999,0.941868293731703,0.9298463140921317,0.9465695579906394,0.910055976629912,0.9059617606874462,0.9017925289667471,0,-8.906825192641922,-7.666463324644541,-5.122966664848549,-7.6240823889602725,-8.268361856180867,-9.58336054766616,-8.905297356545184,-8.214880668051519,2
39,1,0.9039746342463014,0.9999999999999998,0.9406577134536744,0.9289352913334119,0.9456856569689449,0.9083601841878367,0.9039236935014197,0.8994170109394202,0,-9.211088447274694,-7.928310185135892,-5.256840510740423,-7.759273324216157,-8.505551963624173,-9.899544792769214,-9.209560611177952,-8.506573121613934,4
40,1,0.9066673817290377,1.0000000000000002,0.9424591932319737,0.931002254768407,0.9472851333237392,0.9110704884251613,0.9066162892425501,0.9020702440250489,0,-8.708912609773636,-7.359847383733332,-4.974578135885349,-7.316278305844018,-7.981669886315149,-9.33946995628773,-8.707384773676894,-8.062850459774536,2
41,1,0.9073056506786721,0.9999999999999999,0.9426172158204997,0.930368121266407,0.9471583899442384,0.9112939098766819,0.9072545222244768,0.9031407478203283,0,-8.640514018086273,-7.399056509701593,-4.966460224246628,-7.402352038830758,-8.017352485777893,-9.31902998013453,-8.638986181989528,-7.946663499248045,2
42,1,0.90552178919622,0.9999999999999998,0.9416049156996557,0.929561487669241,0.9464257063141386,0.9098979423193818,0.9054707612661204,0.9009531293366656,0,-8.669403859683484,-7.411722611433991,-4.979910554172564,-7.381626418710102,-8.009611816595813,-9.303581205069333,-8.66787602358674,-8.019716987504557,4
43,1,0.9050899872387802,1.0000000000000002,0.9412659053358114,0.9286777670563785,0.9456934708583762,0.9086261656467798,0.9050389836415685,0.9014078122968713,0,-9.135258038874424,-7.94394738384367,-5.2274325568318085,-7.800087953407834,-8.521407357097067,-9.889505276783982,-9.133730202777686,-8.365766290820963,2
44,1,0.9060318099412439,0.9999999999999999,0.9421566409874076,0.9304882383935476,0.946852562071303,0.9102814090749232,0.9059807532704742,0.9015997355786408,0,-8.659547592843381,-7.363463171181819,-4.944063516633361,-7.304847239609867,-7.973245448294447,-9.321693265857755,-8.658019756746642,-7.981814029379011,2
45,1,0.9060698117815632,1.0000000000000002,0.9419277193332612,0.9299571876269895,0.9466211931059644,0.9101292921552433,0.9060187529693152,0.9018325332524317,0,-8.935053962954878,-7.638943658019625,-5.107676402770731,-7.548097276914418,-8.242280996194278,-9.609835164846212,-8.933526126858137,-8.24485484878471,2
46,1,0.9069014184565344,1.0,0.9425465636716923,0.9303658121307515,0.9469969350990936,0.9108275293820182,0.9068503127816182,0.9027998781262037,0,-8.581957478618785,-7.318657702172386,-4.907754287159211,-7.284545612377064,-7.932459822956514,-9.263495001106314,-8.580429642522038,-7.885151171248709,2
47,1,0.904737134479018,0.9999999999999999,0.9411564919551797,0.9293085664181802,0.946061543327344,0.9090918198072159,0.9046861507657514,0.9001864403706594,0,-8.939119728805462,-7.620199500923905,-5.110399435936072,-7.510309230614031,-8.207932999341491,-9.562904704355573,-8.937591892708713,-8.299950630299335,2
48,1,0.90441770268595,0.9999999999999999,0.9411139714133595,0.928960152631438,0.945607282064444,0.9080801314160747,0.904366736973292,0.9006020236050797,0,-9.084788309285603,-7.886541077115112,-5.198892447129722,-7.746955649858679,-8.461594096944772,-9.821252430006666,-9.083260473188856,-8.333003050598577,2
49,1,0.9074632984162566,1.0,0.9432776445077695,0.9317031417370844,0.9476040184442406,0.9112982673968398,0.9074121610783017,0.9034402658955466,0,-8.40128376067854,-7.1120955029854915,-4.814279178721426,-7.137200065476436,-7.742786098521735,-9.049332909256153,-8.399755924581799,-7.738390317131622,2
50,1,0.9067008311378235,0.9999999999999999,0.9420626692314698,0.9294796883434682,0.9466911844465199,0.9107707174920492,0.906649736766396,0.9024490366893091,0,-8.684875041081275,-7.460771136077203,-5.001159684922495,-7.455524812616259,-8.06605849791363,-9.349040841161232,-8.683347204984528,-8.005374737182303,2
51,1,0.9051251185695137,0.9999999999999999,0.9413550037904541,0.9289959881506967,0.945926160050512,0.908988286232803,0.9050741129925823,0.9010863160284791,0,-8.925564682220651,-7.684632288542073,-5.113257233767318,-7.584282493484976,-8.268588038935267,-9.605703771405928,-8.924036846123904,-8.230253173812775,2
52,1,0.9069401725828616,0.9999999999999999,0.9426278426146751,0.9307321204550167,0.9470718542038786,0.9107290244550948,0.9068890647240742,0.9029855173983585,0,-8.853920619530928,-7.537547169030381,-5.0361878524837485,-7.433960779087606,-8.153434762280357,-9.560311812587253,-8.852392783434183,-8.132264646114793,2
53,1,0.9069142117278488,0.9999999999999999,0.9421660112241806,0.9299488402983808,0.9469925938452547,0.9112115295871186,0.9068631053320063,0.902421587268615,0,-8.772874102157841,-7.492756445345375,-5.054113639253607,-7.494218847468002,-8.106437710396627,-9.400045967178688,-8.771346266061093,-8.130380901746227,2
54,1,0.9058613831963326,1.0,0.9414346843748932,0.9292111354120749,0.9463503787184119,0.910047367337145,0.9058103361294445,0.9014965666673874,0,-9.166233135943534,-7.902660893116084,-5.271596460536079,-7.823058852126187,-8.49845008605005,-9.83807122237958,-9.164705299846789,-8.478811273317739,2
55,1,0.9066818899573321,1.0,0.9421996817788632,0.930347255366353,0.9470792323903353,0.9110693075584726,0.9066307966532772,0.9020928099036842,0,-8.74311476885676,-7.448948232041083,-5.040136322774914,-7.462607045541504,-8.065041187143223,-9.351772651054558,-8.741586932760013,-8.11918690419143,2
56,1,0.9065890887049445,1.0,0.9421912949512982,0.9305387892334933,0.9470685643780518,0.9108709644770439,0.9065380006304224,0.9021125237699983,0,-8.93949219044996,-7.618583620693748,-5.137050153539705,-7.585915101876426,-8.234379644945745,-9.56822585702539,-8.937964354353213,-8.29544197679541,2
57,1,0.9060459489397835,1.0,0.9418780018958273,0.9295110067737997,0.9463463682408948,0.9097362887841279,0.9059948914722538,0.9021792837305938,0,-8.947513424773785,-7.689331279505406,-5.130309676145758,-7.6083901217197205,-8.285008656408598,-9.626441949753554,-8.945985588677049,-8.253691726365156,2
58,1,0.9031836400450154,0.9999999999999999,0.940130010641746,0.9278900716871527,0.9449684004606981,0.9072437565129224,0.9031327438742095,0.8989495313243734,0,-9.248751276099794,-7.998693207476041,-5.284619664136262,-7.8062712156903,-8.555889339150006,-9.932057238266609,-9.247223440003053,-8.549930605391287,2
59,1,0.9040635687349506,0.9999999999999998,0.9403865096101046,0.928060715751596,0.9453750864655672,0.9083011024945834,0.9040126229784359,0.8996770279707821,0,-9.341709475677076,-8.129458446995026,-5.340847997082255,-7.945918442400788,-8.69802463494991,-10.08779275036601,-9.340181639580337,-8.57926254727504,4
